Survey Question,Answer Option,Unweighted Frequency,Weighted Percent
"Have you ever tried or experimented with shisha smoking, even one or two puffs?",Yes,1016,11.7
"Have you ever tried or experimented with shisha smoking, even one or two puffs?",No,7228,88.3
How old were you when you first tried smoking shisha?,I have never tried smoking shisha,7543,86.2
How old were you when you first tried smoking shisha?,7 years old or younger,462,5.7
How old were you when you first tried smoking shisha?,8 or 9 years old,198,2.6
How old were you when you first tried smoking shisha?,10 or 11 years old,138,2.1
How old were you when you first tried smoking shisha?,12 or 13 years old,106,1.6
How old were you when you first tried smoking shisha?,14 or 15 years old,104,1.1
How old were you when you first tried smoking shisha?,16 years old or older,71,0.7
Do you think the smoke from other people's shisha smoking is harmful to you? Original Analysis Unweighted Unweighted,Definitely not,1536,18.3
Do you think the smoke from other people's shisha smoking is harmful to you? Original Analysis Unweighted Unweighted,Probably not,1347,14.0
Do you think the smoke from other people's shisha smoking is harmful to you? Original Analysis Unweighted Unweighted,Probably yes,367,4.6
Do you think the smoke from other people's shisha smoking is harmful to you? Original Analysis Unweighted Unweighted,Definitely yes,5272,63.1
"The last time you smoked shisha during the past 30 days, where did you smoke it? (select only one response)",I did not smoke shisha during the past 30 days,7456,85.4
"The last time you smoked shisha during the past 30 days, where did you smoke it? (select only one response)",At home,479,6.2
"The last time you smoked shisha during the past 30 days, where did you smoke it? (select only one response)",At a coffee shop,191,3.0
"The last time you smoked shisha during the past 30 days, where did you smoke it? (select only one response)",At a restaurant,196,2.4
"The last time you smoked shisha during the past 30 days, where did you smoke it? (select only one response)",At a club,62,0.9
"The last time you smoked shisha during the past 30 days, where did you smoke it? (select only one response)",Other,146,1.9
"During the past 30 days, did anyone refuse to serve you shisha because of your age?",I did not try to get shisha served to me during the past 30 days,7196,85.0
"During the past 30 days, did anyone refuse to serve you shisha because of your age?","Yes, someone refused to serve me shisha because of my age",829,9.8
"During the past 30 days, did anyone refuse to serve you shisha because of your age?","No, my age did not keep me from being served shisha",439,5.2
About how many students in your grade smoke tobacco?,Most of them,690,7.6
About how many students in your grade smoke tobacco?,About half of them,547,7.7
About how many students in your grade smoke tobacco?,Some of them,1100,11.1
About how many students in your grade smoke tobacco?,None of them,6160,73.5
Do you think young people who smoke tobacco have more or less friends?,More friends,1715,19.9
Do you think young people who smoke tobacco have more or less friends?,Less friends,4741,60.2
Do you think young people who smoke tobacco have more or less friends?,No difference from non-smokers,1777,19.9
Do you think smoking tobacco makes young people look more or less attractive?,More attractive,3109,39.2
Do you think smoking tobacco makes young people look more or less attractive?,Less attractive,3740,44.2
Do you think smoking tobacco makes young people look more or less attractive?,No difference from non-smokers,1614,16.6
Do you think smoking tobacco is harmful to your health?,Definitely not,952,12.8
Do you think smoking tobacco is harmful to your health?,Probably not,852,9.9
Do you think smoking tobacco is harmful to your health?,Probably yes,391,5.0
Do you think smoking tobacco is harmful to your health?,Definitely yes,6318,72.4
