Survey Question,Answer Option,Unweighted Frequency,Weighted Percent
Where do you usually smoke? (select only one response),At work,108,1.2
Where do you usually smoke? (select only one response),At friends' houses,76,0.6
Where do you usually smoke? (select only one response),At social events,42,0.4
Where do you usually smoke? (select only one response),"In public places (e.g. parks, shopping centers, street corners)",80,0.9
Where do you usually smoke? (select only one response),Other,57,0.7
"Have you ever tried or experimented with any form of smokeless tobacco products (such as naswar/snuff/dip, chewing tobacco, gutka, paan prag or other ready to use sachets, betal quid with tobacco, paan with tobacco)?",Yes,938,8.4
"Have you ever tried or experimented with any form of smokeless tobacco products (such as naswar/snuff/dip, chewing tobacco, gutka, paan prag or other ready to use sachets, betal quid with tobacco, paan with tobacco)?",No,7424,91.6
"During the past 30 days, did you use any form of smokeless tobacco products (such as naswar/snuff/dip, chewing tobacco, gutka, paan prag or other ready to use sachets, betal quid with tobacco, paan with tobacco)?",Yes,461,3.8
"During the past 30 days, did you use any form of smokeless tobacco products (such as naswar/snuff/dip, chewing tobacco, gutka, paan prag or other ready to use sachets, betal quid with tobacco, paan with tobacco)?",No,7897,96.2
Do you want to stop smoking now?,I have never smoked,6125,74.0
Do you want to stop smoking now?,I don't smoke now,684,6.9
Do you want to stop smoking now?,Yes,662,6.7
Do you want to stop smoking now?,No,1096,12.4
"During the past 12 months, did you ever try to stop smoking?",I have never smoked,6424,75.7
"During the past 12 months, did you ever try to stop smoking?",I did not smoke during the past 12 months,547,6.1
"During the past 12 months, did you ever try to stop smoking?",Yes,450,4.7
"During the past 12 months, did you ever try to stop smoking?",No,1214,13.6
Do you think you would be able to stop smoking if you wanted to? Original Analysis Unweighted Unweighted,I have never smoked,6207,73.6
Do you think you would be able to stop smoking if you wanted to? Original Analysis Unweighted Unweighted,I don't smoke now,518,5.0
Do you think you would be able to stop smoking if you wanted to? Original Analysis Unweighted Unweighted,Yes,589,6.7
Do you think you would be able to stop smoking if you wanted to? Original Analysis Unweighted Unweighted,No,1265,14.7
Have you ever received help or advice to help you stop smoking? (select only one response),I have never smoked,6736,78.6
Have you ever received help or advice to help you stop smoking? (select only one response),"Yes, from a program or professional/doctor",262,2.9
Have you ever received help or advice to help you stop smoking? (select only one response),"Yes, from a friend",414,4.6
Have you ever received help or advice to help you stop smoking? (select only one response),"Yes, from a family member",130,1.4
Have you ever received help or advice to help you stop smoking? (select only one response),"Yes, from both programs or professionals and from friends or family members",100,1.3
Have you ever received help or advice to help you stop smoking? (select only one response),No,966,11.2
What was the main reason you decided to stop smoking? (select one response only),I have never smoked,7192,83.7
What was the main reason you decided to stop smoking? (select one response only),I have not stopped smoking,373,3.8
What was the main reason you decided to stop smoking? (select one response only),To improve my health,698,8.2
What was the main reason you decided to stop smoking? (select one response only),To save money,81,1.1
What was the main reason you decided to stop smoking? (select one response only),Because my family does not like it,148,1.7
What was the main reason you decided to stop smoking? (select one response only),Because my friends do not like it,87,1.1
What was the main reason you decided to stop smoking? (select one response only),On the advice of health professional,36,0.2
What was the main reason you decided to stop smoking? (select one response only),Other,52,0.3
"During the past 7 days, on how many days has anyone smoked inside your home, in your presence?",0 days,6772,79.9
"During the past 7 days, on how many days has anyone smoked inside your home, in your presence?",1 to 2 days,906,9.8
"During the past 7 days, on how many days has anyone smoked inside your home, in your presence?",3 to 4 days,328,3.3
"During the past 7 days, on how many days has anyone smoked inside your home, in your presence?",5 to 6 days,155,1.7
"During the past 7 days, on how many days has anyone smoked inside your home, in your presence?",7 days,473,5.3
How often do you see your father (stepfather) smoking in your home?,Don't have/Don't see this person,5415,63.5
How often do you see your father (stepfather) smoking in your home?,About every day,978,11.2
How often do you see your father (stepfather) smoking in your home?,Sometimes,942,10.4
How often do you see your father (stepfather) smoking in your home?,Never,1232,14.9
How often do you see your mother (stepmother) smoking in your home?,Don't have/Don't see this person,5667,65.8
How often do you see your mother (stepmother) smoking in your home?,About every day,316,3.0
How often do you see your mother (stepmother) smoking in your home?,Sometimes,366,3.3
How often do you see your mother (stepmother) smoking in your home?,Never,2283,27.9
How often do you see your brother/sister smoking in your home?,Don't have/Don't see this person,5571,66.2
How often do you see your brother/sister smoking in your home?,About every day,317,2.6
How often do you see your brother/sister smoking in your home?,Sometimes,408,3.4
How often do you see your brother/sister smoking in your home?,Never,2328,27.8
How often do you see other people smoking in your home? Original Analysis Unweighted Unweighted,Don't have/Don't see this person,4689,56.4
How often do you see other people smoking in your home? Original Analysis Unweighted Unweighted,About every day,496,5.3
How often do you see other people smoking in your home? Original Analysis Unweighted Unweighted,Sometimes,1634,17.1
How often do you see other people smoking in your home? Original Analysis Unweighted Unweighted,Never,1764,21.3
"During the past 7 days, on how many days has anyone smoked in your presence, inside any enclosed public place, other than your home (such as schools, hospitals, airport lounges, shops, restaurants, shopping malls, movie theaters, public transport)?",0 days,5626,62.1
"During the past 7 days, on how many days has anyone smoked in your presence, inside any enclosed public place, other than your home (such as schools, hospitals, airport lounges, shops, restaurants, shopping malls, movie theaters, public transport)?",1 to 2 days,1223,13.4
"During the past 7 days, on how many days has anyone smoked in your presence, inside any enclosed public place, other than your home (such as schools, hospitals, airport lounges, shops, restaurants, shopping malls, movie theaters, public transport)?",3 to 4 days,559,5.8
"During the past 7 days, on how many days has anyone smoked in your presence, inside any enclosed public place, other than your home (such as schools, hospitals, airport lounges, shops, restaurants, shopping malls, movie theaters, public transport)?",5 to 6 days,305,4.5
"During the past 7 days, on how many days has anyone smoked in your presence, inside any enclosed public place, other than your home (such as schools, hospitals, airport lounges, shops, restaurants, shopping malls, movie theaters, public transport)?",7 days,932,14.2
"During the past 7 days, on how many days has anyone smoked in your presence, inside any public transportation vehicles, such as trains, buses, or taxicabs?",I did not use public transportation during the past 7 days,4781,53.1
"During the past 7 days, on how many days has anyone smoked in your presence, inside any public transportation vehicles, such as trains, buses, or taxicabs?",I used public transportation but no one smoked in my presence,2521,28.9
"During the past 7 days, on how many days has anyone smoked in your presence, inside any public transportation vehicles, such as trains, buses, or taxicabs?",1 to 2 days,720,7.2
"During the past 7 days, on how many days has anyone smoked in your presence, inside any public transportation vehicles, such as trains, buses, or taxicabs?",3 to 4 days,264,7.3
"During the past 7 days, on how many days has anyone smoked in your presence, inside any public transportation vehicles, such as trains, buses, or taxicabs?",5 to 6 days,166,1.4
"During the past 7 days, on how many days has anyone smoked in your presence, inside any public transportation vehicles, such as trains, buses, or taxicabs?",7 days,203,2.1
"During the past 7 days, on how many days has anyone smoked in your presence, at any outdoor public place (such as playgrounds, sidewalks, entrances to buildings, public parks, bus stops, beaches)?",0 days,6359,70.3
"During the past 7 days, on how many days has anyone smoked in your presence, at any outdoor public place (such as playgrounds, sidewalks, entrances to buildings, public parks, bus stops, beaches)?",1 to 2 days,1088,12.3
"During the past 7 days, on how many days has anyone smoked in your presence, at any outdoor public place (such as playgrounds, sidewalks, entrances to buildings, public parks, bus stops, beaches)?",3 to 4 days,520,9.9
"During the past 7 days, on how many days has anyone smoked in your presence, at any outdoor public place (such as playgrounds, sidewalks, entrances to buildings, public parks, bus stops, beaches)?",5 to 6 days,218,2.9
"During the past 7 days, on how many days has anyone smoked in your presence, at any outdoor public place (such as playgrounds, sidewalks, entrances to buildings, public parks, bus stops, beaches)?",7 days,406,4.6
"During the past 30 days, did you see anyone smoke inside the school building or outside on school property?",Yes,1790,20.9
"During the past 30 days, did you see anyone smoke inside the school building or outside on school property?",No,6683,79.1
"During school hours, how often do you see teachers smoking in the school building?",About every day,517,5.3
"During school hours, how often do you see teachers smoking in the school building?",Sometimes,941,11.5
"During school hours, how often do you see teachers smoking in the school building?",Never,5927,67.2
"During school hours, how often do you see teachers smoking in the school building?",Don't know,1246,16.0
"During school hours, how often do you see teachers smoking outdoors on school premises?",About every day,456,4.5
"During school hours, how often do you see teachers smoking outdoors on school premises?",Sometimes,846,10.7
"During school hours, how often do you see teachers smoking outdoors on school premises?",Never,5772,64.1
"During school hours, how often do you see teachers smoking outdoors on school premises?",Don't know,1546,20.7
Do you think the smoke from other people's tobacco smoking is harmful to you? Original Analysis Unweighted Unweighted,Definitely not,1040,10.4
Do you think the smoke from other people's tobacco smoking is harmful to you? Original Analysis Unweighted Unweighted,Probably not,315,2.7
Do you think the smoke from other people's tobacco smoking is harmful to you? Original Analysis Unweighted Unweighted,Probably yes,762,7.3
Do you think the smoke from other people's tobacco smoking is harmful to you? Original Analysis Unweighted Unweighted,Definitely yes,6522,79.6
"Are you in favor of banning smoking inside enclosed public places (such as schools, hospitals, airport lounges, shops, restaurants, shopping malls, movie theaters, public transport)?",Yes,6713,78.2
"Are you in favor of banning smoking inside enclosed public places (such as schools, hospitals, airport lounges, shops, restaurants, shopping malls, movie theaters, public transport)?",No,1821,21.8
"Are you in favor of banning smoking at outdoor public places (such as playgrounds, sidewalks, entrances to buildings, public parks, bus stops, beaches)?",Yes,6719,77.9
"Are you in favor of banning smoking at outdoor public places (such as playgrounds, sidewalks, entrances to buildings, public parks, bus stops, beaches)?",No,1779,22.1
"The last time you smoked cigarettes during the past 30 days, how did you get them? (select only one response)",I did not smoke any cigarettes during the past 30 days,8165,94.9
"The last time you smoked cigarettes during the past 30 days, how did you get them? (select only one response)",I bought them in a store or shop,227,2.2
"The last time you smoked cigarettes during the past 30 days, how did you get them? (select only one response)",I bought them from a street vendor,104,0.9
"The last time you smoked cigarettes during the past 30 days, how did you get them? (select only one response)",I bought them at a kiosk,52,0.5
"The last time you smoked cigarettes during the past 30 days, how did you get them? (select only one response)",I bought them from a school canteen,23,0.4
"The last time you smoked cigarettes during the past 30 days, how did you get them? (select only one response)",I got them from a pharmacy,22,0.2
"The last time you smoked cigarettes during the past 30 days, how did you get them? (select only one response)",I got them some other way,79,0.9
"During the past 30 days, did anyone refuse to sell you cigarettes because of your age?",I did not try to buy cigarettes during the past 30 days,7742,90.8
"During the past 30 days, did anyone refuse to sell you cigarettes because of your age?","Yes, someone refused to sell me cigarettes because of my age",483,5.6
"During the past 30 days, did anyone refuse to sell you cigarettes because of your age?","No, my age did not keep me from buying cigarettes",381,3.5
"The last time you bought cigarettes during the past 30 days, how did you buy them?",I did not buy cigarettes during the past 30 days,8059,94.0
"The last time you bought cigarettes during the past 30 days, how did you buy them?",I bought them in a pack,244,2.8
"The last time you bought cigarettes during the past 30 days, how did you buy them?",I bought individual sticks (singles),156,1.8
"The last time you bought cigarettes during the past 30 days, how did you buy them?",I bought them in a carton,44,0.6
"The last time you bought cigarettes during the past 30 days, how did you buy them?",I bought them in rolls/dundas,32,0.4
"The last time you bought cigarettes during the past 30 days, how did you buy them?",I bought tobacco and rolled my own,58,0.5
"On average, how much do you think a pack of 20 cigarettes costs? (in PKR)",Less than Rs: 30,1152,11.7
"On average, how much do you think a pack of 20 cigarettes costs? (in PKR)",Rs: 31 to 40,483,6.2
"On average, how much do you think a pack of 20 cigarettes costs? (in PKR)",Rs: 41-50,145,1.5
"On average, how much do you think a pack of 20 cigarettes costs? (in PKR)",Rs: 51-60,70,0.7
"On average, how much do you think a pack of 20 cigarettes costs? (in PKR)",Rs: 61-70,44,1.1
"On average, how much do you think a pack of 20 cigarettes costs? (in PKR)",Rs: 71-80,45,0.6
"On average, how much do you think a pack of 20 cigarettes costs? (in PKR)",Rs: 80 or more,128,1.9
"On average, how much do you think a pack of 20 cigarettes costs? (in PKR)",I don't know,6537,76.2
"During the past 30 days, what brand of cigarettes did you usually smoke? (select only one response) Original Analysis Unweighted Unweighted",I did not smoke cigarettes during the past 30 days,7100,79.5
"During the past 30 days, what brand of cigarettes did you usually smoke? (select only one response) Original Analysis Unweighted Unweighted",No usual brand,1161,15.1
"During the past 30 days, what brand of cigarettes did you usually smoke? (select only one response) Original Analysis Unweighted Unweighted",Gold Flake,197,2.4
"During the past 30 days, what brand of cigarettes did you usually smoke? (select only one response) Original Analysis Unweighted Unweighted",Morven Gold,29,0.7
"During the past 30 days, what brand of cigarettes did you usually smoke? (select only one response) Original Analysis Unweighted Unweighted",Capstain,29,0.4
"During the past 30 days, what brand of cigarettes did you usually smoke? (select only one response) Original Analysis Unweighted Unweighted",Embassy,65,1.0
"During the past 30 days, what brand of cigarettes did you usually smoke? (select only one response) Original Analysis Unweighted Unweighted",Gold Leaf,8,0.2
"During the past 30 days, what brand of cigarettes did you usually smoke? (select only one response) Original Analysis Unweighted Unweighted",Other,65,0.8
